,annotation_index,index,sentence,label,gender,A1,A2,A3,keep,agreement,correct,incorrect,
0,0,201,It is interesting and fun to see Goodall and her chimpanzees on the bigger-than-life screen .,0.78,femm,1,1,1,True,3,3,0,
1,1,742,( Fessenden ) is much more into ambiguity and creating mood than he is for on screen thrills,0.62,masc,1,1,1,True,3,3,0,
5,5,4941,"White has n't developed characters so much as caricatures , one-dimensional buffoons that get him a few laughs but nothing else .",0.29,masc,1,1,1,True,3,3,0,
6,6,37,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",0.65,masc,0,1,1,True,2,2,1,
10,10,1028,"The Bourne Identity should n't be half as entertaining as it is , but director Doug Liman and his colleagues have managed to pack it with enough action to satisfy the boom-bam crowd without a huge sacrifice of character and mood .",0.78,masc,1,1,1,True,3,3,0,
11,11,5381,"It gives poor Dana Carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time .",0.35,masc,0,1,1,True,2,2,1,
12,12,7886,"Lyne 's latest , the erotic thriller Unfaithful , further demonstrates just how far his storytelling skills have eroded .",0.25,masc,1,1,1,True,3,3,0,
13,13,104,She allows each character to confront their problems openly and honestly .,0.72,femm,1,1,1,True,3,3,0,
17,17,1804,"None of his actors stand out , but that 's less of a problem here than it would be in another film : Characterization matters less than atmosphere .",0.42,masc,1,1,1,True,3,3,0,
18,18,6486,"( The kid 's ) just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .",0.39,masc,0,1,1,True,2,2,1,
19,19,449,"Only an epic documentary could get it all down , and Spike Lee 's Jim Brown : All American at long last gives its subject a movie worthy of his talents .",0.94,masc,1,1,1,True,3,3,0,
22,22,614,"Branagh , in his most forceful non-Shakespeare screen performance , grounds even the softest moments in the angry revolt of his wit .",0.67,masc,1,1,1,True,3,3,0,
24,24,278,"Even if you do n't think ( Kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch .",0.67,masc,0,1,1,True,2,2,1,
25,25,7164,"The following things are not at all entertaining : The bad sound , the lack of climax and , worst of all , watching Seinfeld ( who is also one of the film 's producers ) do everything he can to look like a good guy .",0.18,masc,0,1,1,True,2,2,1,
27,27,463,Not too far below the gloss you can still feel director Denis Villeneuve 's beating heart and the fondness he has for his characters .,0.78,masc,1,1,1,True,3,3,0,
29,29,2947,"Davis ' candid , archly funny and deeply authentic take on intimate relationships comes to fruition in her sophomore effort .",0.61,femm,1,1,1,True,3,3,0,
30,30,760,"Director Benoit Jacquot , making his first opera-to-film translation with Tosca , conveys the heaving passion of Puccini 's famous love-jealousy - murder-suicide fandango with great cinematic innovation .",0.91,masc,1,1,1,True,3,3,0,
32,32,54,"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .",0.79,femm,0,1,1,True,2,2,1,
33,33,28,It helps that Lil Bow Wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .,0.76,masc,1,1,1,True,3,3,0,
34,34,2851,"It 's a hoot watching The Rock chomp on jumbo ants , pull an arrow out of his back , and leap unscathed through raging fire !",0.82,masc,1,1,1,True,3,3,0,
35,35,3052,Gone are the flamboyant mannerisms that are the trademark of several of his performances .,0.51,masc,1,1,1,True,3,3,0,
38,38,6378,"( Soderbergh ) tends to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence , and he creates an overall sense of brusqueness .",0.38,masc,1,1,1,True,3,3,0,
39,39,7365,Real-life strongman Ahola lacks the charisma and ability to carry the film on his admittedly broad shoulders .,0.28,masc,1,1,1,True,3,3,0,
40,40,1398,"A sensual performance from Abbass buoys the flimsy story , but her inner journey is largely unexplored and we 're left wondering about this exotic-looking woman whose emotional depths are only hinted at .",0.62,femm,1,1,1,True,3,3,0,
41,41,4188,"The trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",0.29,femm,1,1,1,True,3,3,0,
42,42,821,"Grant gets to display his cadness to perfection , but also to show acting range that may surprise some who thought light-hearted comedy was his forte .",0.75,masc,1,1,1,True,3,3,0,
43,43,1991,"Johnson has , in his first film , set himself a task he is not nearly up to .",0.5,masc,1,1,1,True,3,3,0,
44,44,2930,"It 's enough to watch Huppert scheming , with her small , intelligent eyes as steady as any noir villain , and to enjoy the perfectly pitched web of tension that Chabrol spins .",0.71,femm,1,1,1,True,3,3,0,
45,45,663,"With youthful high spirits , Tautou remains captivating throughout Michele 's religious and romantic quests , and she is backed by a likable cast .",0.75,femm,1,1,1,True,3,3,0,
46,46,1860,Jolie 's performance vanishes somewhere between her hair and her lips .,0.35,femm,1,1,1,True,3,3,0,
47,47,3092,Maggie G. makes an amazing breakthrough in her first starring role and eats up the screen .,0.9,femm,1,1,1,True,3,3,0,
48,48,689,"Like Kubrick , Soderbergh is n't afraid to try any genre and to do it his own way .",0.72,masc,1,1,1,True,3,3,0,
51,51,1867,"While Benigni ( who stars and co-wrote ) seems to be having a wonderful time , he might be alone in that .",0.32,masc,1,1,1,True,3,3,0,
53,53,6659,"Nicks refuses to let Slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",0.62,masc,1,1,1,True,3,3,0,
54,54,2465,He watches them as they float within the seas of their personalities .,0.62,masc,0,1,1,True,2,2,1,
55,55,5560,"On top of a foundering performance , ( Madonna 's ) denied her own athleticism by lighting that emphasizes every line and sag .",0.28,femm,1,1,1,True,3,3,0,
56,56,1154,"Yes , one enjoys seeing Joan grow from awkward young woman to strong , determined monarch , but her love for the philandering Philip only diminishes her stature .",0.58,femm,1,1,1,True,3,3,0,
57,57,240,"His characters are engaging , intimate and the dialogue is realistic and greatly moving .",0.83,masc,1,1,1,True,3,3,0,
58,58,834,"Miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness .",0.79,masc,1,1,1,True,3,3,0,
59,59,2621,"It 's up to ( Watts ) to lend credibility to this strange scenario , and her presence succeeds in making us believe .",0.72,femm,1,1,1,True,3,3,0,
61,61,5566,One of the more glaring signs of this movie 's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from Ms. Spears .,0.18,femm,0,1,1,True,2,2,1,
63,63,600,"... ambition is in short supply in the cinema , and Egoyan tackles his themes and explores his characters ' crises with seriousness and compassion .",0.64,masc,1,1,1,True,3,3,0,
65,65,427,"Long after you leave Justine , you 'll be wondering what will happen to her and wishing her the best -- whatever that might mean .",0.6,femm,1,1,1,True,3,3,0,
66,66,789,"Cho 's fearless in picking apart human foibles , not afraid to lay her life bare in front of an audience .",0.82,femm,1,1,1,True,3,3,0,
67,67,2756,Ali 's graduation from little screen to big is far less painful than his opening scene encounter with an over-amorous terrier .,0.49,masc,1,1,1,True,3,3,0,
73,73,2448,"This odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in Morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .",0.82,femm,0,1,1,True,2,2,1,
74,74,40,"Newton draws our attention like a magnet , and acts circles around her better known co-star , Mark Wahlberg .",0.9,femm,1,1,1,True,3,3,0,
76,76,2263,Ms. Hutchins is talented enough and charismatic enough to make us care about Zelda 's ultimate fate .,0.85,femm,1,1,1,True,3,3,0,
78,78,8128,"No matter how much he runs around and acts like a doofus , accepting a 50-year-old in the role is creepy in a Michael Jackson sort of way .",0.28,masc,1,1,1,True,3,3,0,
81,81,5321,"Oops , she 's really done it this time .",0.58,femm,1,1,1,True,3,3,0,
84,84,5428,"Morrissette has performed a difficult task indeed - he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating .",0.28,masc,1,1,1,True,3,3,0,
85,85,2989,"Nicole Holofcener 's Lovely and Amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style .",0.85,femm,1,1,1,True,3,3,0,
88,88,90,Allen shows he can outgag any of those young whippersnappers making moving pictures today .,0.76,masc,1,1,1,True,3,3,0,
90,90,1107,"When ( De Palma 's ) bad , he 's really bad , and Femme Fatale ranks with the worst he has done .",0.1,masc,1,1,1,True,3,3,0,
93,93,2514,"Argento , at only 26 , brings a youthful , out-to-change-the-world aggressiveness to the project , as if she 's cut open a vein and bled the raw film stock .",0.72,femm,1,1,1,True,3,3,0,
95,95,3676,"( Shyamalan ) continues to cut a swathe through mainstream Hollywood , while retaining an integrity and refusing to compromise his vision .",0.78,masc,1,1,1,True,3,3,0,
96,96,3349,"Berling and B̩art ... continue to impress , and Isabelle Huppert ... again shows uncanny skill in getting under the skin of her characters .",0.64,femm,0,1,1,True,2,2,1,
97,97,276,"Audrey Tatou has a knack for picking roles that magnify her outrageous charm , and in this literate French comedy , she 's as morning-glory exuberant as she was in Am̩lie .",0.72,femm,1,1,1,True,3,3,0,
101,101,7922,"We assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low .",0.17,masc,1,1,1,True,3,3,0,
102,102,5257,"But even then , I 'd recommend waiting for DVD and just skipping straight to her scenes .",0.38,femm,0,1,1,True,2,2,1,
103,103,7426,Some Like It Hot on the Hardwood proves once again that a man in drag is not in and of himself funny .,0.32,masc,1,0,1,True,2,2,1,
104,104,345,"The Pianist is a fine valedictory work for Polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .",0.71,masc,1,1,1,True,3,3,0,
105,105,2301,"With few respites , Marshall keeps the energy humming , and his edits , unlike those in Moulin Rouge , are crisp and purposeful without overdoing it .",0.86,masc,1,1,1,True,3,3,0,
106,106,3237,Her performance moves between heartbreak and rebellion as she continually tries to accommodate to fit in and gain the unconditional love she seeks .,0.71,femm,1,1,1,True,3,3,0,
108,108,3002,"Chris Columbus ' sequel is faster , livelier and a good deal funnier than his original .",0.76,masc,1,1,1,True,3,3,0,
110,110,351,Bennett 's dramatization of her personal descent into post-breakup perdition has a morbid appeal that 's tough to shake .,0.53,femm,1,1,1,True,3,3,0,
114,114,6076,DeMeo is not without talent , he just needs better material .,0.5,masc,1,1,1,True,3,3,0
115,115,1196,"Nair stuffs the film with dancing , henna , ornamentation , and group song , but her narrative clich̩s and telegraphed episodes smell of old soap opera .",0.35,femm,1,1,1,True,3,3,0,
116,116,400,Bullock does a good job here of working against her natural likability .,0.69,femm,1,1,1,True,3,3,0,
117,117,2789,"Jackson tries to keep the plates spinning as best he can , but all the bouncing back and forth ca n't help but become a bit tedious -- even with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting .",0.56,masc,1,1,1,True,3,3,0,
121,121,254,"Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .",0.67,femm,1,0,1,True,2,2,1,
122,122,5938,"Sandra Bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .",0.28,femm,1,1,1,True,3,3,0,
124,124,432,"The level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter .",0.88,femm,1,1,1,True,3,3,0,
125,125,1785,"When she speaks , her creepy Egyptian demigod voice is as computer processed and overproduced as it was in her music .",0.14,femm,1,0,1,True,2,2,1,
126,126,3117,"You come away from his film overwhelmed , hopeful and , perhaps paradoxically , illuminated .",0.74,masc,1,1,1,True,3,3,0,
127,127,264,"As a witness to several Greek-American weddings -- but , happily , a victim of none -- I can testify to the comparative accuracy of Ms. Vardalos ' memories and insights .",0.72,femm,1,0,1,True,2,2,1,
129,129,454,The film has a terrific look and Salma Hayek has a feel for the character at all stages of her life .,0.81,femm,0,1,1,True,2,2,1,
130,130,2113,"the film belongs to the marvelous Verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public",0.72,femm,1,1,1,True,3,3,0,
132,132,6494,"Carrying this wafer-thin movie on his nimble shoulders , Chan wades through putrid writing , direction and timing with a smile that says , ` If I stay positive , maybe I can channel one of my greatest pictures , Drunken Master . '",0.21,masc,1,1,1,True,3,3,0,
